Kyocera,16,315,2.193800193,399
CanadianSolar,15.9,305,1.918267776,222.77
GrapeSolar390W,15.21,390,2.565027128,585
GrapeSolar250,15.1,250,1.625416104,399
Suntech,15.7,255,1.627916744,272.85
Samsung,15.62,250,1.517720965,375
