Houston,29.7604,95.3698,69.05,4.33,26.3,4.33,1176,3.96,Verisolar;Circle L Solar;Texas Solar Outfitters,,
Indianapolis,39.7684,86.1581,53.1,4.57,36.9,5.85,964,4.5,Yellow Lite;SunWind Power Systems;Rectify Energy,,
Irvine,33.6846,117.8265,63.5,4,29.2,4.65,557,3.84,Semper Solaris;SunLux Energy Inc.;Imperial Solar,,
Irving,32.814,96.9489,66.05,4.87,30.3,5.92,1176,4.05,Circle L Solar;Sunpro Solar;Solar Wolf Energy,,
Jacksonville,30.3322,81.6557,67.9,5.21,28.3,6.11,1141,4.25,IQ Power;AIA Solar Contracting Inc;All American Solar LLC,,
Jersey ,40.7282,74.0776,52.65,4.28,36.3,5.19,696,4.25,Amergy Solar;Vivint Solar;Horizon Solar Power,,
Kansas ,39.0997,94.5786,56.7,4.64,36.3,5.9,1033,4.6,Sunsmart Technologies;Good Energy Solutions;Brightergy,,
Laredo,27.5306,99.4803,74.15,4.36,24.9,5.06,1176,4.5,Time-4-Solar LLC;Soleil Energy Solutions;Wright-Way Solar Technologies,,
Las Vegas,36.1699,115.1398,69.3,4.23,32.4,5.09,913,4.5,Blue Raven Solar;Horizon Energy Solutions;Solup USA LLC,,
Lexington-Fayette,38.0406,84.5037,55.55,4.68,35,5.86,1120,4.5,Aries Solar;SunWind Power Systems;Solar Energy Solutions;Inc,,
Lincoln,40.8258,96.6852,51.5,4.68,37.8,6.09,962,4.5,Good Energy Solutions;GenPro Energy Solutions;Dixon Power Systems,,
Long Beach,33.7701,118.1937,64.8,2.96,29.2,4.62,557,3.5,Semper Solaris;NRG Clean Power;SunLux Energy Inc. ,,
Los Angeles,34.0522,118.2437,63.8,4.12,30,4.85,557,3.38,Semper Solaris;NRG Clean Power;SunLux Energy Inc. ,,
Louisville,38.2527,85.7585,58.2,4.68,35.3,5.88,1120,4.50,Aries Solar;SunWind Power Systems;Inc;RegenEn Solar,,
Lubbock,33.5779,101.8552,60.65,4.54,30.8,5.53,1176,4.50,TIME-4-SOLAR LLC;Soleil Energy Solutions LLC;Wright-Way Solar Technologies,,
Madison,43.0731,89.4012,46.3,4.15,39.4,5.39,668,3.00,Drews Solar;Full Spectrum Solar;Solar Planet,,
Memphis,35.1495,90.049,63,4.9,32.6,6.04,1248,4.50,Aries Solar;LightWave Solar;Sundial Solar Power Developers,,
Mesa,33.4152,111.8315,71.95,3.81,28.6,4.4,1028,3.75,Arizona Solar Wave;Energy Solution Providers;LLC;Baker Solar and Electric,,
Miami,25.7617,80.1918,77.05,4.87,24.2,5.52,1141,4.41,Urban Solar Group;A National Electric Service;Sundurance Solar;LLC,,
Milwaukee,43.0389,87.9065,47.75,4.17,39.4,5.49,668,3.00,Arch Electric;Solar Planet;Able Energy Co,,
Minneapolis,44.9778,93.265,46.15,4.48,41.5,6.03,762,3.88,All Energy Solar;Energy Concepts;Powerfully Green,,
Nashville,36.1627,86.7816,59.25,4.84,33.6,5.99,1248,4.50,Tennessee Solar Solutions;Aries Solar;LightWave Solar,,
New Orleans,29.9511,90.0715,69.7,5.35,28.5,5.35,1286,4.50,Sundial Solar Power Developers;Joule Solar Energy;Solar Advantage;LLC,,
New York City,40.7128,74.006,55.15,4.28,36.3,5.19,635,4.25,Rural Generation and Wind;Fuze Solar;Endless Energy,,
